Index	Link	Playlist ID	Essential/Optional (E/O)
Exercise 7	/e/simplifying_fractions/	g5_p12	E
Exercise 8	/e/equivalent_fractions/	g5_p12	E
	Quiz 7	g5_p12
	Unit test 3	 g5_p10,g5_p11,g5_p12

Playlist 13 - Comparing Fractions, Decomposing Fractions, Factors and Multiples, Adding and subtracting Fractions		g5_p13


	Subtitle week 17	g5_p13
Video 1	/v/finding-common-denominators/	g5_p13	E
Video 2	/v/comparing-fractions-with-greater-than-and-less-than-symbols/	g5_p13	E
Video 3	/v/fractions-with-like-denominators-numerators/	g5_p13	E
Video 4	/v/comparing-fractions/	g5_p13	E
Video 5	/v/comparing-fractions-2/	g5_p13	E
Video 6	/v/ordering-fractions/	g5_p13	E
Exercise 1	/e/comparing_fractions_1/	g5_p13	E
Exercise 2	/e/comparing_fractions_2/	g5_p13	E
Exercise 3	/e/ordering_fractions/	g5_p13	E
Video 7	/v/decomposing-a-fraction-visually/	g5_p13	E
Video 8	/v/decomposing-a-mixed-number/	g5_p13	E

	Subtitle week 18	g5_p13
Video 1	/v/adding-up-to-a-fraction-drag-and-drop-example/	g5_p13	E
Video 2	/v/adding-fractions-with-like-denominators/	g5_p13	E
Video 3	/v/subtracting--fractions/	g5_p13	E
Video 4	/v/adding-and-subtracting-fractions/	g5_p13	E
Video 5	/v/adding-fractions-with-unlike-denominators/	g5_p13	E
Video 6	/v/adding-fractions--ex-1/	g5_p13	E
Video 7	v/subtracting-fractions-with-unlike-denominators/	g5_p13	E
Video 8	/v/adding-fractions-with-different-signs/	g5_p13	E
Video 9	/v/addition-of-rational--numbers/	g5_p13	E
Video 10	/v/adding-fractions-word-problem-1/	g5_p13	E
Video 11	/v/subtracting-fractions-word-problem-1/	g5_p13	E
Video 12	/v/adding-fractions-word-problem-2/	g5_p13	E
Video 13	/v/adding-fractions-with-unlike-denominators-word-problem/	g5_p13	E
Video 14	/v/subtracting-fractions-with-unlike-denominators-word-problem/	g5_p13	E
Exercise 1	/e/adding_fractions_with_common_denominators/	g5_p13	E
Exercise 2	/e/subtracting_fractions_with_common_denominators/	g5_p13	E
Exercise 3	/e/adding_fractions/	g5_p13	E
Exercise 4	/e/subtracting_fractions/	g5_p13	E
Exercise 5	/e/adding_and_subtracting_fractions/	g5_p13	E

	Quiz  8	g5_p13

Playlist 14 - Multiplying and Dividing fractions		g5_p14
		g5_p14

	Subtitle week 19	g5_p14
Video 1	/v/multiplying-fractions-and-whole-numbers/	g5_p14	E
Video 2	/v/multiplying-a-fraction-by-a-fraction/	g5_p14	E
Video 3	/v/multiplying-fractions/	g5_p14	E
Video 4	/v/multiplying-negative-and-positive-fractions/	g5_p14	E
Video 5	/v/multiplication-as-scaling/	g5_p14	E
Exercise 1	/e/multiplying_fractions_by_integers/	g5_p14	E
Exercise 2	/e/multiplying_fractions_0.5/	g5_p14	E
Exercise 3	/e/multiplying_fractions/	g5_p14	E
Video 6	/v/creating-a-fraction-through-division-of-whole-numbers/	g5_p14	E
Video 7	/v/my-share-of-soap-as-a-mixed-number-on-a-number-line/	g5_p14	E
Video 8	/v/dividing-a-whole-number-by-a-fraction-word-problem/	g5_p14	E
Video 9	/v/dividing-a-fraction-by-a-whole-number-word-problem/	g5_p14	E
video 10	/v/dividing-fractions-word-problem/	g5_p14	E
Video11	/v/dividing-fractions/	g5_p14	E
Video 12	/v/dividing-fractions-example/	g5_p14	E
Video 13	/e/dividing_fractions_0.5/	g5_p14	E
Exercise 4	/e/dividing_fractions/	g5_p14	E
Exercise 5	/e/dividing_fractions_2/	g5_p14	E
Video 14	/v/multiplying-fractions-word-problem-2/	g5_p14	E
Video 15	/v/multiplying-fractions-word-problem-3/	g5_p14	E
Video 16	/v/multiplying-fractions-word-problem-1/	g5_p14	E
Video 17	/v/multiplying-fractions-word-problem/	g5_p14	E
Video 18	/v/multiplying-fractions-word-problem-4/	g5_p14	E
Video 19	/v/multiplying-fractions-word-problem-5/	g5_p14	E

Playlist 15 - Mixed fractions and Improper Fractions		g5_p15

	Subtitle: week 20	g5_p15
Video 1	/v/comparing-improper-fractions-and-mixed-numbers/	g5_p15	E
Video 2	/v/mixed-numbers-and-improper-fractions/	g5_p15	E
Video 3	/v/proper-and-improper-fractions/	g5_p15	E
Video 4	/v/converting-mixed-numbers-to-improper-fractions/	g5_p15	E
Video 5	/v/changing-a-mixed-number-to-an-improper-fraction/	g5_p15	E
Video 6	/v/changing-an-improper-fraction-to-a-mixed-number/	g5_p15	E
Video 7	/v/postive-improper-fractions-on-the-number-line/	g5_p15	E
Video 8	/v/ordering-improper-fractions-and-mixed-numbers/	g5_p15	E
Video 9	/v/fractions-cut-and-copy-2-exercise-example/	g5_p15	E
Video 10	/v/points-on-a-number-line/	g5_p15	E
Exercise 1	/e/converting_mixed_numbers_and_improper_fractions/	g5_p15	E
Exercise 2	/e/fractions_on_the_number_line_2/	g5_p15	E
Exercise 3	/e/comparing_improper_fractions_and_mixed_numbers/	g5_p15	E
Exercise 4	/e/ordering_improper_fractions_and_mixed_numbers/	g5_p15	E
Exercise 5	/e/fractions_cut_and_copy_2/	g5_p15	E
Exercise 6	/e/fractions_on_the_number_line_3/	g5_p15	E
	Quiz  9	g5_p14, g5_p15

Playlist 16- Mixed Fractions and Improper Fractions Addition, Subtraction, Multiplication and Division
	Subtitle: Week 21
Video 1	/v/adding-mixed-numbers/	g5_p16	E
