Index	Link	Playlist_ID	Essential/Optional (E/O)
Video 11	/v/example-using-algebra-to-find-measure-of-supplementary-angles/	g6_p22	E
Exercise 6	/e/complementary_and_supplementary_angles/	g6_p22	E
Exercise 7	/e/angle_addition_postulate/	g6_p22	E
	Quiz 14	g6_p21, g6_p22	E
	Unit Test-5	g6_p19, g6_p20, g6_21, g6_p22	E
			
	Playlist 23: Angles, triangles and polygons-1	g6_p23	E
	Subtitle: Week 26	g6_p23	
Video 1	/v/proof---sum-of-measures-of-angles-in-a-triangle-are-180/	g6_p23	E
Video 2	/v/triangle-angle-example-1/	g6_p23	E
Video 3	/v/triangle-angle-example-2/	g6_p23	E
Video 4	/v/proof---corresponding-angle-equivalence-implies-parallel-lines/	g6_p23	E
Exercise 1	/e/angles_1/	g6_p23	E
Exercise 2	/e/angles_2/	g6_p23	E
	Quiz 15	g6_p23	E
			
	Playlist 24: Angles, triangles and polygons-2	g6_p24	E
Video 1	/v/finding-more-angles/	g6_p24	E
Video 2	/v/sum-of-interior-angles-of-a-polygon/	g6_p24	E
Video 3	/v/sum-of-the-exterior-angles-of-convex-polygon/	g6_p24	E
Exercise 1	/e/angles_of_a_polygon/	g6_p24	E
			
	Playlist 25: Circles	g6_p25	E
	Subtitle: Week 27	g6_p25	
Video 1	/v/language-and-notation-of-the-circle/	g6_p25	E
Video 2	/v/circles--radius--diameter-and-circumference/	g6_p25	E
Video 3	/v/length-of-an-arc-that-subtends-a-central-angle/	g6_p25	E
Video 4	/v/finding-central-angle-measure-given-arc-length/	g6_p25	E
Video 5	/v/parts-of-a-circle/	g6_p25	E
Video 6	/v/area-of-a-circle/	g6_p25	E
Video 7	/v/area-of-a-sector-given-a-central-angle/	g6_p25	E
Exercise 1	 /e/circles_and_arcs/	g6_p25	E
Exercise 2	/e/areas_of_circles_and_sectors/	g6_p25	E
	Unit Test-6	g6_p23, g6_p24, g6_p25	E
